,Category (service/promo),,in category write down the se
"Hi Parent,Guaranteed 8-point IQ improvement with Sri Chaitanya's HOTS Mastery program for students in classes 1-8. Call now at 6366527867 and get a 30% discount.",Promotional,,
Only have 1gb left recharge now,Service,,
"6 more for JUST Rs. 1? Yes! Grab up to 12 Trial Packs with your next trial order with The Black Pass, Today. Try now on Smytten- message.smytten.com/Lg4qMP5",Promotional,,
e-stamp IN-UP80150813254180V issued for PADMA MISHRA WIFE O on 23/11/2023 for Rs 42400. Please visit www.stockholding.com for verification-StockHolding,Service,,
"Attention RajeshEnadle, Surrender to the balloon magic! Order stunning balloon bouquets n more @ Rs.100 off. Code FA100.
weurl.co/FySGSc
Flower Aura",Promotional,,
"6 more for JUST Rs. 1? Yes! Grab up to 12 Trial Packs with your next trial order with The Black Pass, Today. Try now on Smytten- message.smytten.com/vgDl3wQ",Promotional,,
"Hi Rajesh Chalasani, Celebrate more, Clean Less. The Best Cleaning Service at the Lowest Price only with NoBroker 
Book NOW a.nobrkr.com/lYDwoOM",Promotional,,
Devotional message,Promotional,,
"REMINDER!Check your exclusive Personal Loan offer of Rs.553,000 To avail, give a Call on 18002106292 Or Missed Call on 7065263131. T&C.Bajaj Finance Ltd",Promotional,,
IAPP-YOUR REQUEST FOR BALANCE ENQUIRY DATED 25 11 2023 AT 16 02 36 IS SUCCESSFUL WITH TXN ID RRN 332916237928  AVL BAL 0 00  PLEASE FIND THE,Service,,
IAPP-DEAR SHAILENDRA KOTIAN  THANK YOU FOR YOUR JOB CARD TRANSACTION  WE HAVE ADDED 198 POINTS TO YOUR MARUTI SUZUKI REWARDS ACCOUNT  TO KNO,Service,,
"Alert: Free Webinar of Medical Writing Course by Henry Harvin on 26th Nov starts at 2:00pm

To Register click here: bit.ly/3QW9SdD
Password: 290716",Promotional,,
FETTING FLASH MESSAGES CONTINOUSLY,Promotional,,
GETTING FLASH MESSAGES CONTINOUSLY,Promotional,,
"Oberoi Realty
Now At Thane

* Large Open Spaces
Luxury 3 & 4 BHK
Spacious Home
* Large Decks
* Forest View

For Show Flat
8591677005 / wa.link/v4bns3 
KIHDAM",Promotional,,
"Dear Member,
Evening online batch for Limited Insolvency exam from 28th Nov. onwards. 30 classes of 90 min. FCFS Basis. Fees Rs. 11800/-
CA R K Gupta-9811117243",Promotional,,
"????? ????? ?????!?? ???? ??????? ?? ?????????? ?? ??????? ????? ?? ?????, ?? ?? ????? ?? ???? ?? ?? ????? ??? ????,???? ??????? ?????? ?????? ?? ??|",Promotional,,
GETTING FLASH MESSAGES,Promotional,,
StashFin missed you! You can NOW check ur eligibility for getting MONEY upto Rs 10000 from StashFin. Login NOW to check ur eligibility https://stash.page.link/68s3  -StashFin,Promotional,,
"HDFC Bank Credit Card XX5441 Statement: Total due amt: Rs.27,941.00 Min due amt: Rs.1,400.00 Due by:10-12-2023. View statement here:https://cchdfc.in/ugSl2-f9QDR",Service,,
"????? ????? ?????!?? ???? ??????? ?? ?????????? ?? ??????? ????? ?? ?????, ?? ?? ????? ?? ???? ?? ?? ????? ??? ????,???? ??????? ?????? ?????? ?? ??|",Promotional,,
"Repeated stock market spam SMS, many per day.",Promotional,,
"Update! Complete Application to avail Personal Loan with loan limit 375,000. Call on 18002097700 or Give a missed call on 7065260909. T&C. Bajaj Finance Ltd.",Promotional,,
IAPP-                                   2199955000        107816 66                   30 11 23    HTTPS   1KX IN JBUVWW                                               UPPCL,Service,,
Congratulation ! You are eligible for AXIS BANK LIC Credit Card LIFE TIME FREE with limit upto 5 Lakhs.T&C Applied. Apply Now https://infn.in/LtOJ1r SRIBALJI,Promotional,,
Congratulation !You are eligible for IDFC FIRST BANK Credit Card LIFE TIME FREE and Get Instant Limit.T&C Applied. Apply Now https://infn.in/D2244N SRI BALAJI,Promotional,,
"No Super Trend No RSI, MACD, Ema, No 
Just Simple Logic. Very Easy To Use In Bnknfty.
Join Now : - https://chat.whatsapp.com/C8zfRV2VonsKTG17LGGOQT
-SRIRCC",Promotional,,
OTP to access Sloshout is 2001,Service,,
IAPP-26         2023,Service,,
"Mr. Yogesh Received Rs. 60,000* by activating Mobikwik Zip.

Get Rs. 60,000* credited to your Mobikwik account. 

Install http://1kx.in/vSZNbE -MobiKwik",Promotional,,
"Dear 99809899XX

Prize Pool: 3,50,00,000 (3.5 Cr)*

Enter RummyCircle's 101 Pool Rummy now: http://gmg.im/excvnK

Optout sms RCOUT to 56161 *T&C
 -Ace Sports",Promotional,,
"Dear customer, get a personal loan from moneyview of up to Rs.10,00,000 credited instantly. Apply Now: http://1kx.in/tlegl9",Promotional,,
Please use otp: 880878 to validate.,Service,,
cutt.ly/Pww1Junn. Your application has been approved. come on and make a withdrawal!. credigen,Promotional,,
"Pre Launching TVS Emerald Lake Shore - Exclusive 363 Plots With 5 Gardens & Clubhouse Near SIPCOT IT Park, Chennai @ INR 34.90 Lakh* Onwards. Call 08069236630",Promotional,,
"Ready for Possession
5* Luxury 3 BHK Apts.
@Sec-50, Noida
Adjacent to 32 Acre Greenbelt
Near to Noida City Centre Metro
Final opportunity
M 7677911911
INYRD",Promotional,,
IAPP-LET S RETHINK BIG THE VERRATON THANE LAUNCHING SUPER SIZED 2BED HOMES 840SQ FT   1 63CR  ALL IN  0 STAMP DUTY  FLEXI PAY PLAN   T C 932,Promotional,,
IAPP-LETSSHAVE S MONTHLY SALE IS LIVE  GRAB UP TO 49  OFF ON YOUR FAVS   FREE DELIVERY  VALID FOR 24HRS BUY NOW  BZ1 IN EMY DLXO5IM TEAM LET,Promotional,,
IAPP-WHAT ARE YOU DOING TODAY   SUNDAY  26TH NOVEMBER   COME SPEND YOUR DAY AT THE GMR AEROCITY D2C FEST WITH LOTS OF EXCITING LIVE MUSIC AN,Promotional,,
"GREETINGS FROM SRI LAKSHMI HOMES. WE CORDIALLY INVITE YOU TO ATTEND THE GRAND LAUNCH OF OUR PRESTIGIOUS PROJECT LAKSHMI MODERN CITY AVADI ON 24,25,26TH OF NOVEMBER 2023. 30 TO 50 GMS GOLD COIN FREE FOR SPOT BOOKING   9600088881 GOMATHI",Promotional,,
"??? 9636XXX406 ?? ???!
??? ??????? ???? ?? ???? ??? ????????? ??? ?? 56 ??? ?? ??? ?? 5GB ???? ?? 300 SMS ??289 ???| Get exclusive benefits on Thanks App. i.airtel.in/AirRech",Promotional,,
IAPP-BILL PAID AGAINST ACCOUNT NUMBER 2117941000  WITH AMOUNT 1902 00  MODE WALLET  RECEIPT NO 81801172  RECEIPT DATE 26 11 2023   UHBVNL,Service,,
"cutt.ly/hwUCHjQR. Congratulations, Your Loan amount of rupees 20000. has been disbursed to your bank account. credigen",Promotional,,
Your bank has been instructed to unblock Rs. 14720.00 for IREDA IPO applno GROWW21471524 due to non-allotment. Please contact your bank or ignore if already unblocked. LNKRTA,Service,,
"Dear User,
Biozyme range @ Rs.4049 + Flat Rs.250 Off w/code:BIO250 +Free Gallon Bottle +4% HK Cash + Bank Offers: u1.mnge.co/1wBwwZ6 -HealthKart",Promotional,,
"Offer for 8899XXX169 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech",Promotional,,
LIVE: Rs.299 FLASH SALE Get your hands on Just Herbs' top-rated products at unbeatable prices. Offer valid till MIDNIGHT. Hurry & Shop Now - https://wizk.ws/t/Gmx8ii6S-,Promotional,,
"Dear User,
Performance Whey @ Rs. 4049 +Flat Rs. 250 Off w/code:BIO250+Free Gallon Bottle+4% HK Cash+Bank Offers: u1.mnge.co/0LRYj0n -HealthKart",Promotional,,
Loan message,Promotional,,
Loan message,Promotional,,
promotional call,Promotional,,
Walk-in on Sunday* to avail any one test FREE (Sugar/Cholesterol) + upto 60% OFF on health packages Apollo Diagnostics (NABL Accredited Lab) 9205893894,Promotional,,
"Hi , Rs 45,000 credit in your bank acc. XXX8259 as Snapmint Loan, No document required, transfer in 4 working hrs. T&C. Get Now. snpmt.in/IyRXEP",Promotional,,
DND ALREADY ACTIVATED BUT STILL GETTING SMS FROM AX-SMMUDD,Promotional,,
"getting promotional calls and sms,s",Promotional,,
I do not have any SIM registered with this number. Concerned about receiving this SMS.,Promotional,,
"???? ?? 5G ?????????? ?? ????!
?? ?????? 5G Plus ?? ??? ????????? 5G ???? ?? ???? ??? ???? ???? ???????? ????? ??? ????????????? ??? ?? ??? ????? ?? ???, https://bit.ly/3OCPUVs  ?? ????? ???? ?????? ????",Promotional,,
Getting multiple otp spam messages from different spammers,Promotional,,
IAPP-BOLLYWOOD WORKOUT ROUTINE  DANCE YOUR WAY TO FITNESS WITH DESI KALAAKAAR ON NOV 26 AT 11 30 AM  CLICK HERE TO JOIN U3 MNGE CO R7XXZZV P,Promotional,,
IAPP-                                                                                                         999                         APACHE                    10 000                                        9,Service,,
Please use otp: 496230 to validate.,Service,,
IAPP-YOUR TRANSACTION OF AMOUNT 980 0 AGAINST AEPS CASH WITHDRAWAL DATED 26 11 2023 AT 19 38 01 IS SUCCESSFUL WITH TXN ID RRN 333019698624,Service,,
"Dear Customer,
We hope you had a deLicious meal! Please take a minute to rate the product(s) in your order tp4y6xlxl4d2. http://1kx.in/AxFDS1HKust -Licious",Promotional,,
"?? ????????? ????,
??? ???? ??????? ??????? ???? ?? ???? ????????.
???? ???????? ????????! ???????? ???????????!
#BJP4Telangana #Vote4BJP",Promotional,,
??? ?????????? SIM ??????? ?? ????? ???? ??????????? ?? ??????? 5G ???? ????? ????????????? 17+ OTTs ?? 1??? ????? ?????????????? ??????????.?????? ????? ????? ??????? ???? ??????? ???????.?????? Click here i.airtel.in/prepaid50,Promotional,,
"Do not miss out on superior indoor coverage with Airtel WiFi Calling! For better experience, change your smartphone settings today. Click u.airtel.in/hKOOl5",Promotional,,
"Hi Navneet, ORDER PACKED with insane discounts. Your turn now! Get upto 20% + EXTRA 20% off on all DaMENSCH styles with code DAM20 u1.mnge.co/qjL2y9l",Promotional,,
"While receiving any international call, if an Indian number or no number is displayed on your phone, please inform on the DoT toll-free number 1800110420/1963.",Service,,
THE UCC SMS MARKETING,Promotional,,
Please use otp: 178997 to validate.,Service,,
"On Kartika Purnima(27 Nov)

Take part in Shiva Parvati Kalyanotsavam- https://t.ly/ntDyy

Attain divine blessings of Lord Shiva,Maa Parvati. 

Devaseva",Promotional,,
Please use otp: 889539 to validate.,Service,,
"Today is Most Auspicious KARTHIKA PURNIMA.

One of the most auspicious day to perform any religious ceremony, bathing in sacred River & doing DAANA (charity).

Get Blessings of LORD on  KARTHIKA SOMAVARA PURNIMA by providing meal to Needy.

DONATE for ANNADAN at www.iskconmeal.in & save TAX.
ISKCON",Promotional,,
IAPP-OTP TO LINK YOUR MOBIKWIK WALLET ON EASEMYTRIP IS AVAILABLE ON YOUR MOBIKWIK APP  CLICK HERE HTTPS   SAK38 APP GOO GL 4SK4E  MOBIKWIK,Promotional,,
Please use otp: 327653 to validate.,Service,,
Asking to apply for a loan,Promotional,,
"While receiving any international call, if an Indian number or no number is displayed on your phone, please inform on the DoT toll-free number 1800110420/1963.",Service,,
"??????? Kunal Koley ,
??????? ????????? ???? Rs 9 LAKH ??????? ?????-???????? ?? ???? ????? ???????? ??????? ?? ???? ??????????? ?????? ??????? ????? ????? ??????? ??????????? ???? ???? ??? ????? ???? https://i.airtel.in/FSNNDT",Service,,
Alert!50%-: of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack,Promotional,,
50% ?????: ???? ???? ?????? ??? ????? ???? ???? ?? 50% ????? ?? ???? ??? ?????? ?????? ?? ?? ????? ?? ????? ???? i.airtel.in/Get-Data,Promotional,,
"?? ??????? ??????? 28-11-2023 ? ????? ????? ??????? ????? ?????? ???????? ???????????? ???????????????? ????????????- ????? ????? ?????? ????????? ???, GOVTAP",Promotional,,
THE UNSOLICITED COMMUNICATION,Promotional,,
"Hi Suyash, Save Your Money! Don't pay a higher interest rate on your loan. Avail instant Power Loans at lower interest rates of 14% only on KISSHT! Avail Now! weurl.co/KyW7Kw. *t&c apply",Promotional,,
"Hi Suyash, Save Your Money! Don't pay a higher interest rate on your loan. Avail instant Power Loans at lower interest rates of 14% only on KISSHT! Avail Now! weurl.co/JyVujV. *t&c apply",Promotional,,
Inspection service,Service,,
"TRUMP TOWERS 2.0
New Launch, sec 66
3.5/4.5 BHK ULTRA Luxurious Apartments
Largest Club House
Private deck jacuzzi
Price 5.4 Cr*
Call 9717477743
f5digi",Promotional,,
"Dear Prateek,
Save big on health checks. Book a Vitamin D test @ Rs.249 & get FREE Horlicks Women's Plus. Tap https://hrjs.in/oZucIv Apollo 24|7 *TCA",Promotional,,
Please use otp: 374926 to validate.,Service,,
Asking me to verify employment details to get some personal loan. They message me every 3 days. I have got tired of their messages.,Promotional,,
"Your time is limited; don't waste it living someone else's life. - Steve Jobs
Thanks,
CA Hans Raj Chugh
9811207924",Promotional,,
IAPP-HI  WE REQUEST YOU TO SUBMIT BACK YOUR AIRTEL XSTREAM ID 7041008980 WI FI ROUTER  PLEASE CALL 8178398051   8384059015   BETWEEN 9 AM TO,Service,,
"1GB high speed data: left in your current pack. To continue using high speed data, recharge with Rs118 pack to get 12GB. Visit i.airtel.in/Rcharge",Promotional,,
"Hi Siva, DELIVERED 
(NOV '23 offer):
Your LIFETIME-FREE INDUSIND BANK Credit Card offer with up to 5,00,000 limit. TnC apply bnkbzr.co/wml9F0TuJ6",Promotional,,
"UPDATE! COMPLETE APPLICATION TO AVAIL PERSONAL LOAN WITH LOAN LIMIT 413,000. CALL ON 18002097700 OR GIVE A MISSED CALL ON 7065260909. T&C. BAJAJ FINANCE LTD.",Promotional,,
COMPANY KE PROMATINAL MESSAGE AA RAHE HAI,Promotional,,
"Your cart won't wait forever! Checkout your MyGlamm faves TODAY for Rs.400 OFF your cart, upto Rs 799! Use code CART400. Shop now: weurl.co/Kyj2fS",Promotional,,
"Hi, We have got an offer for you. Activate your OneCard before 30 Nov'23 & get welcome benefit of Rs. 2000 Tap here https://c.1rp.in/1/TCpik ! T&C
-OneCard",Promotional,,
Please use otp: 650309 to validate.,Service,,
138361 is your OTP for Change Login Mobile request. New Login mobile. DO NOT share the OTP with anyone M N JEWEL PARK,Service,,
"4529 is your OTP for BYJU'S App

Ref : byjus",Service,,
"Due to inactivity, your MobiKwik wallet will turn inactive in 7 days. You'll need to take additional steps to reactivate it.Keep it active by transacting now.",Service,,
IAPP-DEAR SIR  WELCOME TO OUR D TT NG MEET NG SERVICE CALL MEETING JOIN TO MEET DIYA  8967380324 AJYTCM,Service,,
342055 is your OTP for Change Login Mobile request. New Login mobile. DO NOT share the OTP with anyone M N JEWEL PARK,Service,,
AIRTEL RELATED,Promotional,,
"Dear user your, Sbi bank reward point will be closed Today please update ,your Rs.5899 via given link_https:https://lahs-yeunsh6.web.app JANKI CERATECH",Promotional,,
airtel is expanding network,Service,,
"Axis Bank never asks you to download Mobile Banking App, 'open' via APK files. Any such request is fraudulent. Know more - Axbk.in/AQrWGuUMuCD -",Service,,
"Dear Member, adidas Cyber Monday extravaganza ends today! Shop Flat 40% off on selected articles at adidas stores near you. T&C!",Promotional,,
LetsShave's Monthly Sale is Live! Grab Up to 49% off on your Favs + FREE delivery. Valid for 24hrs Buy now! bz1.in/qRH/xwxUsuG Team LetsShave,Promotional,,
"Hi Deryk James,

Refill Pill Box with Genuine Medicines!

Shop at Healthy Saving Days for FLAT 24% OFF on Next Order.

Flipkart Health+ 
u3.mnge.co/WW3DOW3",Promotional,,
Please use otp: 401088 to validate.,Service,,
"Dear KUMAR ASHWIN, Gift your loved ones a LIFETIME FREE IndusInd Bank Add-on Credit Card. Gift today: inbl.in/MDKk9WyvSo - IndusInd Bank",Promotional,,
Please use otp: 774046 to validate.,Service,,
Insurance sale,Promotional,,
"Dear Customer, ZERO DOCUMENTATION! Avail pre-approved loan up to INR 61,000 with low interest on YES BANK Credit Card. Click ccybl.in/MavDUMAEwo -YES BANK LTD",Promotional,,
"CONFIRMATION Customer, Credit Limit for your Loan against Visitor ID 34602439 has been updated.
Check here: http://nc6.in/kBsXOt
*T&C Bajaj Markets",Service,,
"Dear consumer, AXlS BNK reward Rs.7890 point expired by today. Click now for cash click here https://fsgsa.vercel.app/ SHAHJI LOGISTICS",Promotional,,
Please use otp: 262317 to validate.,Service,,
"Hi , iPhone at just Rs 4619 on Snapmint EMI. Time to upgrade your new Smartphone. Click here. 
snpmt.in/KygHXP",Promotional,,
"Dear Doctor,
2000+ doctors have boosted their careers through Omnicuris Academy's NHS (UK) certified courses. Join Today! weurl.co/Myuaz2",Promotional,,
Airtel company calls,Promotional,,
"??????! RAJASTHAN GOVERNMENT ?? ???????? ????, REFYNE ?? ??? ?????-???? ??????? ???? ?? ???? ?????? ?? ????? ?? ???????? ???? ????? ???? bit.ly/v4Eng1",Promotional,,
"Hi, Your official RAJASTHAN GOVT Advance SALARY account is ready in IFMS & Refyne App with your SSO ID. 

Login now bit.ly/v4Eng3",Service,,
Asking me to upgrade to esim,Promotional,,
UNSOLICITED REPEATED SMS TO CONVERT MY SIM TO ESIM,Promotional,,
"Today, Most Auspicious DAY

Get Blessing of LORD on KARTHIKA SOMVAR PURNIMA by providing Meal to Needy

Support ISKCON's ANNADAN program at www.iskconseva.in",Promotional,,
IAPP-ITS TIME TO UPGRADE  ENJOY ALL YOUR AIRTEL POSTPAID BENEFITS ON A DIGITAL ESIM  UPGRADE YOUR SIM CARD ABSOLUTELY FREE  AND SAY BYE TO A,Promotional,,
Receiving frequently sms from airtel about my data pack,Promotional,,
"Getting frequent sms from AO-AIRTEL about my data balance.
Please stop this bullshit.",Promotional,,
IAPP-DEAR APPLICANT  WE REGRET TO INFORM YOU THAT BASIS OUR SBI CARDS INTERNAL POLICY  WE ARE UNABLE TO ISSUE A CREDIT CARD TO YOU AT THIS T,Service,,
call/SMS received,Service,,
Introducing Airtel Xsafe! A smart home surveillance solution with Wi-Fi-based security cameras. Order now & get FREE expert consultation and installation. i.airtel.in/SafePre1,Promotional,,
IAPP-                                   4080009000        32443 90                   02 12 23    HTTPS   1KX IN TVISIX                                               UPPCL,Service,,
Please use otp: 865795 to validate.,Service,,
Hi Rajkumar! Save 20% on luxury stays at Taj with breakfast & 1 meal. Celebrate IHCL & Tata Neu's bond. Book now. T&C apply https://tneu.in/bKQ2e5st,Promotional,,
SBI Bank-Your Rs.220000/- Limit Credit Card is approved. Please Confirm Your details: l01.in/i4e6f9!94tpbkm Pru,Service,,
"As part of Special Campaign 3.0, CERT-In GOI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in",Service,,
"???? ?? 5G ?????????? ?? ????!
?? ?????? 5G Plus ?? ??? ????????? 5G ???? ?? ???? ??? ???? ???? ???????? ????? ??? ????????????? ??? ?? ??? ????? ?? ???, https://bit.ly/3OCPUVs  ?? ????? ???? ?????? ????",Promotional,,
Please use otp: 717772 to validate.,Service,,
Alert 50%: of daily highspeed data is consumed. Get 12GB data topup at just Rs118 | valid till your current pack i.airtel.in/118pack,Promotional,,
"????! ??????????, ?????????(??????, ???? & SMS) ????? ?????? ?????????? ??? ??????????? ??? ???????????????! ??????? ? ????? https://youtu.be/Nyu2RWAm2SY ??? ?????? ???? ???????????.",Promotional,,
"Dear User, 
Stay in form with right diet. Order nutrition supplements & get up to 70% OFF + FREE 2-hr* delivery. Tap https://hrjs.in/bxXGbA Apollo 24|7",Promotional,,
"Hi MobiKwik User, ! Settle your overdue ZIP EMI of Rs.26899 for just Rs.9190. Click to pay: https://infn.in/8BQrlc",Promotional,,
Please use otp: 504205 to validate.,Service,,
retail promos,Promotional,,
"????????! ???? 2GB ???? ???? ?????!
???? ????? ???? ???????? ???????? ??????? ???????? ???? i.airtel.in/2GB_FR",Promotional,,
"????????! ???? 2GB ???? ???? ?????!
???? ????? ???? ???????? ???????? ??????? ???????? ???? i.airtel.in/2GB_FR",Promotional,,
Election calls,Promotional,,
IAPP-THE PERSON YOU WERE CALLING IS NOW AVAILABLE TO RECEIVE CALLS  CLICK HERE TO CALL THEM BACK I AIRTEL IN RMCAALRT,Service,,
Entertainment related sms,Promotional,,
Received promotional data offers,Promotional,,
IAPP-HELLO VALUED AIRTEL CUSTOMER   YOU ARE PRE QUALIFIED FOR AIRTEL AXIS BANK CREDIT CARD WITH CREDIT LIMIT OF UP TO RS 5 LAKH AND ANNUAL C,Promotional,,
"Dear consumer, AXlS BNK reward Rs.9850 point expired by today. Click now for cash click here https://fsgsa.vercel.app/ SHAHJI LOGISTICS",Promotional,,
Good News 906660xxxx Loan amount of Rs 125000 Can Be ready to be disbursed. Confirm your details l01.in/i5ujqu!8e6ishf - Credit Mantri,Promotional,,
"Discovery Sport.
Design you can't help but notice, combined with the versatility to inspire.
For more information Call AMP Motors on 7838552775
MOTAMP",Promotional,,
"Govt Aprvd ?????
??????? ???? ?????
Reg. 2100
9717058680
F5digi",Promotional,,
"Hi Customer, avail a pre-approved personal loan of Rs. 500000 from IDFC FIRST Bank through a seamless digital journey. Apply now https://idfcfs.in/DJEGCV TCA",Promotional,,
Keep asking to recharge etc.,Promotional,,
"Hi Bonthu, your CIBIL score 800+ is just WOW. Congrats! You're getting extra 1 lakh on your pre-approved MoneyTap credit line. a1.moneytap.com/ylDY1nr",Promotional,,
Airtel service,Promotional,,
"Hi Deryk your exclusive No Joining Fee Offer on the Tata Neu HDFC Bank Credit Card expires soon. Avail before 30Nov23, https://tneu.in/HqkT54gm",Promotional,,
Your FREE access to Wynk Premium is ACTIVE. Enjoy Ad free music with unlimited downloads & unlimited hello tunes: bit.ly/WynkPlat,Service,,
Received a SMS reminding about payment of Airtel bill,Service,,
"Claim 500 FREEBET @ PlayWise365.
Deposit 1000, use code Friday before it expires.

Catch us on
black Fridays @ bit.ly/pw365-s10
for more info. MObilGX",Promotional,,
"Hey player, Its now or never! You have 0 discount credits in your wallet for Rummyprime. Play now before they expire - tinyurl.com/23u7nwtb",Promotional,,
receving unwanted sms,Promotional,,
"NEW LIMIT ALERT: Customer, your Loan amount against Visitor ID 34602439 is ready for review.
Check Now: http://nc6.in/kBE8Uq
*T&C Bajaj Markets App",Service,,
"? ?????????? ?????? ?????????????????, ???????? ???????????? ???? ? ?????? ???????????,?????? DoT ????-????????? 1800110420/1963?? ???????????.",Promotional,,
"Hello Nithin, Instant cash alert! Click to grab a personal loan of up to Rs.10 Lakh! https://tneu.in/y2MQRlBO Limited time offer, T&C apply - Tata Neu",Promotional,,
Good News 994031xxxx Loan amount of Rs 125000 Can Be ready to be disbursed. Confirm your details l01.in/if1kpl!987q749 - Credit Mantri,Promotional,,
"Hi, with reference to the Service request no. 31-5163091051653 on your Airtel Mobile, we have checked that your number is not updated in Do Not Disturb (DND) Registry. To register, please dial *1909*0# for Fully block or *1909*50# for promotional call/sms block.",Service,,
IAPP-HI  YOUR ORDER HAS BEEN PLACED  SOUNDS GOOD  TRACK YOUR ORDER WITH THE MOMS CO   TRAVEL SKIN ESSENTIALS WORTH RS 1171 ONLY AT RS 49  PA,Promotional,,
"Govt Aprvd ?????
??????? ???? ?????
Reg. 2100
9717058680
F5digi",Promotional,,
"Hey there, last 2 days left to grab FLAT 50% OFF + EXTRA 30% OFF on 3 or more styles with PUMA Black Friday Sale, only at PUMA Factory Outlets. Visit now. T&C.",Promotional,,
advertisement,Promotional,,
"on Raise Complaint to raise a complaint for DND  Offer  related call sms aa rhaye 
heye band karna heye thik keya jaye",Service,,
IAPP-DEAR DR KRISHNA SUMAN THANK YOU FOR SHARING YOUR VALUABLE TIME WITH RAJASTHAN AUSHDHALAYA PVT  LTD  IT WILL BE HIGHLY APPRECIABLE TO HE,Service,,
cx raised a complain previously as well. That he is getting message from AIRTEL. A new tower is planned in  your area.,Promotional,,
OTP is present only,Service,,
"Hi Anuradha,
When it comes to your health, don't trust any lab; trust the right one.
Book a Full Body Health Checkup @Rs.799 only.
Call Healthians 9289628086",Promotional,,
Reminder: CASHe has requested payment of INR 2686.00. You can pay through this link: https://rzp.io/i/nOCfwq9Uh - Razorpay,Service,,
Receiving sms for each new tower installed by Airtel.,Promotional,,
???? ????? ?? ?????? ????! ?????? ??????????? ????? ?? ??? 1 Gbps ????? ?? ????????? ???? ????? ??? ????? ????? i.airtel.in/UnlimitedData,Promotional,,
"Hi Bala, your CIBIL score 800+ is just WOW. Congrats! You're getting extra 1 lakh on your pre-approved MoneyTap credit line. a1.moneytap.com/j7NDLln",Promotional,,
promotional sms,Promotional,,
IAPP-DEAR CUSTOMER  DROP THE TRAFFIC FINE  YOUR TWO WHEELER POLICY 3005 160664738 04 000  IS DUE FOR RENEWAL ON 28 DEC 23  RENEW AT HTTP   1,Service,,
5178 is OTP for your RummyCulture. Please do not share it with anyone. 5NeDiSvLmvB,Service,,
"Dear customer, your DTDC OTP is 839455. OTP is valid for 10 minutes. Happy Shipping.",Service,,
D/P Your OTP is 719660.Share otp to collect your ward. From Smart Start Tekhok,Service,,
<#> 5931 is your OTP to register yourself on postpe. y4VPoGleiat,Service,,
"srikanthkankipati, Buying your dream home can be tricky! Avoid mistakes with NoBroker?s Dedicated Property Expert. Visit a.nobrkr.com/JP7VvMK",Promotional,,
HDFC Bank: Rs. 390.00 credited to a/c XXXXXX8400 on 28-11-23 by a/c linked to VPA gpayrefund@axisbank (UPI Ref No  333255180971).,Service,,
????? ??????? ????? ?? ????? ???? THE RAILWAY MEN ??????? ?????  NETFLIX ?? ?????? ?? ??? ????? ??????? ?? ???? ?????? ?? ???? ???? ?? ??????? ????? ?? ????? ????? ????!,Promotional,,
Banking/Insurance/Financial,Promotional,,
dnd already activate,Service,,
"100%-ALERTS!: for your daily highspeed data limit. Get 6GB at just Rs49, valid for 1 day till midnight. Recharge now https://i.airtel.in/49",Promotional,,
Good News 916335xxxx Loan amount of Rs 125000 Can Be ready to be disbursed. Confirm your details l01.in/if2fl0!8h2rg6e - Credit Mantri,Promotional,,
"???? ?? 5G ?????????? ?? ????!
?? ?????? 5G Plus ?? ??? ????????? 5G ???? ?? ???? ??? ???? ???? ???????? ????? ??? ????????????? ??? ?? ??? ????? ?? ???, https://bit.ly/3OCPUVs  ?? ????? ???? ?????? ????",Promotional,,
IAPP-   364 IS YOUR ONE TIME VERIFICATION CODE FOR MAGICBRICKS ACCOUNT  IT IS VALID FOR 5 MIN  SW935MLA0BF MAGICBRICKS,Service,,
Please use otp: 281595 to validate.,Service,,
"? ?????????? ?????? ?????????????????, ???????? ???????????? ???? ? ?????? ???????????,?????? DoT ????-????????? 1800110420/1963?? ???????????.",Promotional,,
"Offer for 8978XXX627 !
Recharge now to enjoy 1GB data, for 1 day in Rs19. Get exclusive benefits on Thanks App. i.airtel.in/AirRech",Promotional,,
"Enjoy unlimited Local, STD & Roaming calls, 1.5GB/day data and 100 SMS. Pack valid for 84 days. UNLIMITED 5G data over & above your plan limit, claim on Airtel Thanks App.",Service,,
airtel towner related call,Promotional,,
Wynk Rewind ke saath apni 2023 ke musical safar ko fir se jeene ke liye taiyaar ho jayein! Jin gaano ne aapke saal ko paribhashit kiya unhe fir se sunein. Bane rahein aur chunein. open.wynk.in/rewind3,Promotional,,
DEAR USER MOTHER NATURE S HERE TO HEAL  GET AYURVEDIC PRODUCTS   UP TO 50  OFF  TAP FOR 2-HR* DELIVERY  HTTPS   HRJS IN ZZ6NRA APOLLO 24 7,Promotional,,
Loan sms from airtel,Promotional,,
scam sms for unknown pluxee card,Promotional,,
scam sms for unknown pluxee card,Promotional,,
"IDBI Bank A/c NN02288 credited for INR 1053.11 thru UPI. Bal INR 2043.56 (incl. of chq in clg) as of 28 NOV 20:30hr. If not used by you, call 18002094324",Service,,
